iid,1,2,3,4,5,6,7,8,9,10,gv1,gv2,gv3,gv4,gv5,gv6,gv7,gv8,gv9,gv10,egv1,egv2,egv3,egv4,egv5,egv6,egv7,egv8,egv9,egv10
1103,-1.13969,1.07827,1.11862,-1.2409,0.146699,2.32178,-0.437508,-0.0653897,-0.145407,-2.19157,-0.725895,0.942749,-0.0493286,-0.0625905,0.82077,-0.375335,-0.548949,0.338176,-0.586801,-1.75514,,,,,,,,,,
1104,-1.01506,1.04517,1.34013,-1.37788,0.23516,-1.611,-0.579407,-2.21389,-1.95578,-0.674937,-1.65772,0.10321,0.0114721,0.250243,0.775891,0.0237891,-0.836912,-0.820913,0.549701,-1.92636,,,,,,,,,,
1105,1.05428,-0.131629,1.56507,-1.57246,1.89597,3.52925,-0.137171,-4.80927,0.223991,0.882998,0.180954,0.138434,0.89408,0.31633,0.0980514,1.02387,0.618939,-0.882648,1.14073,0.367258,,,,,,,,,,
1106,1.65949,-1.46845,6.5461,-0.520414,-3.29203,7.09363,4.178,-4.00174,0.127738,-0.906435,2.60931,-1.76941,4.17335,-1.67285,-2.89825,6.28291,3.97745,-5.8683,0.247233,-0.543386,,,,,,,,,,
1107,1.19067,0.812184,0.00195086,2.36367,2.49562,-2.30574,-0.673533,2.02964,0.26827,-1.66276,-0.521967,1.08817,-1.42515,0.245397,1.92998,-0.889534,-0.173594,0.954569,-0.417876,-1.06574,,,,,,,,,,
1108,0.794845,-1.75302,-1.89353,0.734542,1.02415,0.0115751,-0.870227,-1.53252,1.64374,0.715054,0.508312,-0.841354,-0.0799551,-1.08606,0.480525,-0.244656,0.587295,-0.0205328,0.903958,0.274705,,,,,,,,,,
1109,2.45694,-1.3591,-1.97361,-1.5281,-1.17287,-0.202632,0.124551,-0.56985,-0.309621,0.0733732,0.615174,-1.15624,0.141312,-0.590866,0.373768,-0.482544,0.63848,0.0505037,-1.04803,-0.456947,,,,,,,,,,
1110,-3.5927,-0.119188,-0.317761,1.95063,0.560492,0.184892,-4.24765,5.33851,-1.63833,1.32453,-2.77569,0.133885,1.36376,1.98543,-0.413221,1.39666,-2.35781,6.37344,-0.0930626,0.609001,,,,,,,,,,
1111,0.173596,1.38935,-1.09902,-1.07349,1.07752,-2.34157,0.646208,-0.581922,-0.0981874,-2.43752,-0.110883,0.448822,0.198341,-0.947722,0.0225894,-1.96549,0.295791,-0.235878,0.0806572,-1.18431,,,,,,,,,,
1112,0.583017,-0.524841,0.680458,0.512493,0.245118,-3.97147,0.970728,0.868853,1.6404,2.70103,0.912335,-0.881078,0.564802,0.0344755,0.167752,-2.56561,1.13686,0.728206,-0.590962,-0.281366,,,,,,,,,,
1113,-2.0278,-1.41394,0.645059,-0.340063,0.151203,0.316646,-0.887711,0.722029,3.06102,2.23522,-1.58578,-0.523834,0.348521,1.48574,1.14465,-0.118618,-0.0099393,-0.601252,2.6237,0.0610388,,,,,,,,,,
1114,1.26391,0.0446904,1.22875,0.0266777,-0.109201,1.675,0.12841,-0.320088,0.803132,3.38879,1.53338,-0.800007,-0.575857,-1.14428,0.233571,0.735893,-0.162916,0.603053,0.826001,0.61292,,,,,,,,,,
1115,1.94985,-0.726705,-0.467417,-0.271269,-1.94115,-0.525436,-1.26389,2.01351,-2.96848,-2.23325,1.31625,-1.37959,0.110184,-0.314458,-0.600478,-1.19126,0.396587,0.826538,-1.67873,-1.53543,,,,,,,,,,
1116,0.757457,0.901187,-0.582046,2.0148,-0.804886,-0.997035,-0.459889,-0.234889,0.44406,0.578396,-0.84577,1.41413,-0.433758,1.57778,0.406113,-0.803209,0.424722,0.15966,0.394554,-0.703299,,,,,,,,,,
