trait_x,trait_y,vc_name,m,var,seV,pve,seP,enrichment,seE,example1-3-2,1x2,2x2,example1-3-2,1x2,2x2,err
1,1,example1-3-2,1,0.959817,0.165509,0.33299,0.059756,2.04298,0.34118,0.116404,-0.0776984,-0.0387054,0.0273934,-0.00733211,-0.00296833,-0.0159665
1,1,1x2,1,-0.290505,0.121385,-0.100785,0.0451877,-0.618342,0.307223,-0.0776984,0.0943859,-0.0166875,-0.00733211,0.0147344,0.00259673,-0.000307038
1,1,2x2,1,0.740124,0.140759,0.256771,0.0387496,1.57536,0.235357,-0.0387054,-0.0166875,0.055393,-0.00296833,0.00259673,0.0198131,-0.00165137
1,1,err,NA,1.47299,0.128799,0.511024,0.0549384,NA,NA,NA,NA,NA,-0.0159665,-0.000307038,-0.00165137,0.0165891
